Time,Action,Status
11:15:56,connexion to MQTT Broker,OK
11:15:56,retrieve all plugs from database,OK
11:15:56,Current switch : 192.168.1.154,running ...
11:15:56,connexion to MQTT switch : 192.168.1.154,OK
11:15:56,Current switch : Prise1,running ...
11:15:56,"Current switch : 192.168.1.128,0",running ...
11:15:57,connexion to shelly switch : 192.168.1.128,OK
11:15:57,data storage for shelly switch,OK
11:15:57,"Current switch : 192.168.1.128,1",running ...
11:15:57,connexion to shelly switch : 192.168.1.128,OK
11:15:57,data storage for shelly switch,OK
11:15:57,Current switch : 192.168.1.111,running ...
11:15:57,connexion to MQTT switch : 192.168.1.111,OK
11:15:57,Current switch : eMylo1,running ...
11:16:11,connexion to Meross cloud,running ...
11:16:11,End of execution : 14.811526775360107s,OK
